state,level,week,year
AK,1,49,2008
AK,1,48,2008
AK,1,47,2008
AK,1,46,2008
AK,1,45,2008
AK,1,44,2008
AK,1,43,2008
AK,1,42,2008
AK,1,41,2008
AK,1,40,2008
AK,1,43,2020
AK,1,42,2020
AK,1,41,2020
AK,1,40,2020
AK,0,39,2020
AK,0,38,2020
AK,0,37,2020
AK,0,36,2020
AK,0,35,2020
AK,0,34,2020
AK,0,33,2020
AK,0,32,2020
AK,0,31,2020
AK,0,30,2020
AK,1,29,2020
AK,1,28,2020
AK,1,27,2020
AK,1,26,2020
AK,1,25,2020
AK,1,24,2020
AK,1,23,2020
AK,1,22,2020
AK,1,21,2020
AK,1,20,2020
AK,1,19,2020
AK,1,18,2020
AK,1,17,2020
AK,1,16,2020
AK,4,15,2020
AK,1,14,2020
AK,1,13,2020
AK,5,12,2020
AK,2,11,2020
AK,4,10,2020
AK,6,9,2020
AK,11,8,2020
AK,4,7,2020
AK,5,6,2020
AK,7,5,2020
AK,9,4,2020
AK,7,3,2020
AK,7,2,2020
AK,7,1,2020
AK,13,52,2019
AK,11,51,2019
AK,3,50,2019
AK,2,49,2019
AK,1,48,2019
AK,1,47,2019
AK,4,46,2019
AK,2,45,2019
AK,1,44,2019
AK,1,43,2019
AK,1,42,2019
AK,1,41,2019
AK,1,40,2019
AK,1,39,2019
AK,1,38,2019
AK,1,37,2019
AK,2,36,2019
AK,1,35,2019
AK,1,34,2019
AK,1,33,2019
AK,1,32,2019
AK,1,31,2019
AK,1,30,2019
AK,1,29,2019
AK,1,28,2019
AK,1,27,2019
AK,1,26,2019
AK,1,25,2019
AK,1,24,2019
AK,1,23,2019
AK,4,22,2019
AK,1,21,2019
AK,2,20,2019
AK,2,19,2019
AK,4,18,2019
AK,4,17,2019
AK,4,16,2019
AK,1,15,2019
AK,1,14,2019
AK,1,13,2019
AK,1,12,2019
AK,10,11,2019
AK,10,10,2019
AK,10,9,2019
AK,10,8,2019
AK,10,7,2019
AK,10,6,2019
AK,10,5,2019
AK,10,4,2019
AK,4,3,2019
AK,1,2,2019
AK,3,1,2019
AK,3,52,2018
AK,2,51,2018
AK,2,50,2018
AK,1,49,2018
AK,1,48,2018
AK,2,47,2018
AK,2,46,2018
AK,1,45,2018
AK,1,44,2018
AK,1,43,2018
AK,1,42,2018
AK,1,41,2018
AK,1,40,2018
AK,1,39,2018
AK,1,38,2018
AK,1,37,2018
AK,1,36,2018
